,Resident_Provider,Polygamous,Kids_Under_15_In_Settlement,Children_Under_15_outside_settlement,Spouses_on_settlement,Spouses_Outside_HH,recipient_of_wfp,recipient_of_hsnp,OPCT_received,PWSDCT_received,Relationship_MainProvider,Gender,Age,School_meal_receive,Work_last_7days,Main_provider_occupation,Toilet,Drinking_water,Donkeys_owned,Camels_owned,Zebu_cattle_owned,Shoats_owned,Nets_owned,Hooks_owned,Boats_rafts_owned
21,4.0,0.0,0.0,0.0,0.0,0.0,True,1,False,False,Main Provider,Female,86,False,Doing nothing,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Public tap,0,0,0,110,0,0,0
36,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,28,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,1,0,0,150,0,0,0
59,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,55,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,0,0,0,90,0,0,0
76,1.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,78,False,Doing nothing,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,0,0,0,50,0,0,0
80,4.0,0.0,0.0,0.0,0.0,0.0,False,1,False,False,Main Provider,Female,47,False,Other,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Tube well/borehole with pump,0,0,0,40,0,0,0
97,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,38,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,0,0,0,50,0,0,0
105,3.0,1.0,0.0,0.0,0.0,0.0,False,1,False,False,Main Provider,Male,64,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,0,2,0,100,0,0,0
117,4.0,0.0,0.0,0.0,0.0,0.0,False,0,True,False,Main Provider,Female,66,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Uncovered pit latrine,Public tap,0,0,0,45,0,0,0
132,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,35,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,0,0,0,40,0,0,0
173,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,51,False,Homemaker,Main provider occupation not defined,Bush-None,Public tap,1,0,10,203,0,0,0
195,4.0,0.0,0.0,0.0,0.0,0.0,False,1,False,False,Main Provider,Female,61,False,Homemaker,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,1,2,0,150,0,0,0
205,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,68,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,4,0,37,280,0,0,0
